2017-11-08T16:09:15.100Z,36.7060013,-121.336998,-0.57,2.14,22,nc72921196,"12km SSE of Ridgemark, California",0.42,0.67,0.14,21
2017-11-08T15:58:44.860Z,33.2245,-116.7395,14.43,0.73,23,ci38039192,"3km SE of Lake Henshaw, CA",0.53,1.13,0.115,19
2017-11-08T15:53:40.318Z,61.5531,-146.4918,29.8,1.5,,ak17170629,"47km N of Valdez, Alaska",,0.2,,
2017-11-08T15:40:30.170Z,38.8243332,-122.8151703,4.47,0.74,9,nc72921181,"7km NW of The Geysers, California",1,1.09,0.22,2
2017-11-08T15:08:30.500Z,33.4993333,-116.7791667,7.99,0.46,20,ci38039144,"10km NE of Aguanga, CA",0.32,0.88,0.108,10
2017-11-08T14:34:01.910Z,33.5041667,-116.7941667,5.54,0.57,39,ci38039120,"10km NE of Aguanga, CA",0.14,0.45,0.13,18
2017-11-08T14:23:30.500Z,19.3910007,-155.2733307,2.64,2.27,40,hv61970366,"5km SW of Volcano, Hawaii",0.2,0.16,0.26,14
2017-11-08T13:51:58.140Z,33.5058333,-116.7963333,4.7,0.32,24,ci38039112,"10km NE of Aguanga, CA",0.13,0.2,0.061,6
2017-11-08T13:40:13.040Z,34.2088333,-117.6176667,9.88,1.33,59,ci38039104,"10km NNW of Rancho Cucamonga, CA",0.18,0.33,0.175,33
2017-11-08T13:33:43.740Z,40.4706667,-74.149,4.34,1.38,15,ld60145101,"3km NNW of Keansburg, New Jersey",0.51,12.4,0.234,15
2017-11-08T13:27:49.850Z,37.6038322,-118.821167,3.49,1.58,20,nc72921136,"14km ESE of Mammoth Lakes, California",0.3,0.38,0.14,14
2017-11-08T13:25:11.990Z,31.8098333,-116.2666667,22.46,2.97,23,ci38039088,"30km ENE of Maneadero, B.C., MX",0.46,0.87,0.148,71
2017-11-08T13:18:15.320Z,38.8061676,-122.7858353,-0.27,1.19,12,nc72921126,"4km NW of The Geysers, California",0.29,0.53,0.16,5
2017-11-08T13:10:14.820Z,39.7751656,-120.6033325,9.53,2.87,24,nc72921121,"12km WSW of Portola, California",0.3,0.96,0.17,32
2017-11-08T12:55:52.800Z,33.4898333,-116.7908333,4.81,0.59,39,ci38039072,"9km NE of Aguanga, CA",0.15,0.51,0.083,19
2017-11-08T12:54:43.888Z,62.8183,-150.9762,109.3,1.6,,ak17170541,"70km NW of Talkeetna, Alaska",,1.2,,
2017-11-08T12:48:42.992Z,60.4084,-152.0865,82.9,2,,ak17170537,"37km ESE of Redoubt Volcano, Alaska",,0.5,,
2017-11-08T12:32:08.970Z,37.6051674,-118.8195038,3.78,0.71,9,nc72921091,"14km ESE of Mammoth Lakes, California",0.36,0.72,0.18,8
2017-11-08T12:29:50.170Z,-22.1474,-68.6711,137.04,4.1,,us2000bkbg,"44km NE of Calama, Chile",5.5,7.9,0.185,8
2017-11-08T12:28:54.352Z,60.7987,-159.2567,9.4,2.1,,ak17170533,"136km E of Bethel, Alaska",,0.3,,
2017-11-08T12:21:39.470Z,45.838,-111.663,3.06,0.93,7,mb80268724,"10km SW of Three Forks, Montana",0.46,0.79,0.267,8
2017-11-08T11:52:18.697Z,64.7272,-148.5207,14.9,0.9,,ak17170457,"27km WSW of Ester, Alaska",,0.3,,
2017-11-08T11:50:18.300Z,-23.978,-69.2682,84.82,4.1,,us2000bkau,"120km ESE of Antofagasta, Chile",3.6,9.7,0.174,9
2017-11-08T11:47:16.080Z,36.2772,-97.5123,5,3.7,,us2000bkas,"20km W of Perry, Oklahoma",1.2,3.6,0.042,145
2017-11-08T11:33:23.500Z,46.8725,-112.5243333,14.02,1.31,11,mb80268714,"15km SE of Lincoln, Montana",0.58,1.05,0.085,2
2017-11-08T11:31:12.356Z,62.7999,-150.5424,78.1,3,,ak17170446,"57km NNW of Talkeetna, Alaska",,0.6,,
2017-11-08T11:28:53.380Z,37.6040001,-118.8221664,3.58,1.17,12,nc72921071,"14km ESE of Mammoth Lakes, California",0.35,0.61,0.19,10
2017-11-08T11:00:21.150Z,32.651,-115.8661667,7.99,0.72,15,ci38039064,"15km SE of Ocotillo, CA",0.57,0.79,0.211,6
2017-11-08T10:57:48.230Z,37.5983315,-118.8148346,3.68,1.34,14,nc72921046,"14km ESE of Mammoth Lakes, California",1.65,0.62,0.17,12
2017-11-08T10:57:26.900Z,37.6068344,-118.8209991,2.71,1.06,8,nc72921041,"14km ESE of Mammoth Lakes, California",1.02,1.06,0.17,7
2017-11-08T10:47:30.004Z,65.0768,-151.154,13.3,2.3,,ak17170367,"25km WNW of Manley Hot Springs, Alaska",,0.1,,
2017-11-08T10:46:08.837Z,58.6746,-154.9153,1.6,1.6,,ak17170366,"101km E of King Salmon, Alaska",,0.6,,
2017-11-08T10:35:03.420Z,33.5118333,-116.7941667,4.87,0.33,18,ci38039056,"10km NE of Aguanga, CA",0.28,0.74,0.084,8
2017-11-08T10:29:00.790Z,-17.9578,-178.3736,569.01,4.5,,us2000bkai,"293km SE of Lambasa, Fiji",13.2,9.3,0.085,41
2017-11-08T10:25:07.330Z,37.6015015,-118.8195038,3.96,0.92,9,nc72921016,"14km ESE of Mammoth Lakes, California",0.49,0.8,0.12,6
2017-11-08T10:08:50.230Z,37.6085014,-118.8215027,3.5,1.27,9,nc72921001,"14km ESE of Mammoth Lakes, California",0.66,1.18,0.39,8
2017-11-08T09:51:55.120Z,37.6073341,-118.8228302,3.88,1.65,18,nc72920991,"13km ESE of Mammoth Lakes, California",0.32,0.42,0.19,16
